#Optimization obtained via Optimization of the largest Eigenvalue
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
257 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
258 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
259 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
260 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
261 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
262 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
263 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
264 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
265 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
266 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
267 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
268 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
269 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
270 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
271 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
272 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
273 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
274 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
275 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
276 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
277 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
278 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
279 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
280 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
281 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
282 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
283 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
284 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
285 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
286 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
287 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
288 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
289 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
290 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
291 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
292 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
293 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
294 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
295 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
296 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
297 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
298 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
299 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
300 0.001414 0.993246 0.993246 1.361290 1.361290 1.000000 1.000000 1.000000
301 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
302 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
303 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
304 0.001470 0.992983 0.992983 1.360445 1.360446 1.000000 1.000000 1.000000
305 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
306 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
307 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
308 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
309 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
310 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
311 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
312 0.001470 0.992983 0.992983 1.360446 1.360446 1.000000 1.000000 1.000000
