#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
257 0.001361 0.993501 0.993499 1.362526 1.362104 1.000000 1.000000 1.000000
258 0.001361 0.993501 0.993499 1.362528 1.362103 1.000000 1.000000 1.000000
259 0.001361 0.993502 0.993499 1.362535 1.362103 1.000000 1.000000 1.000000
260 0.001361 0.993502 0.993499 1.362533 1.362102 1.000000 1.000000 1.000000
261 0.001361 0.993501 0.993498 1.362525 1.362101 1.000000 1.000000 1.000000
262 0.001361 0.993502 0.993498 1.362534 1.362101 1.000000 1.000000 1.000000
263 0.001361 0.993502 0.993499 1.362534 1.362104 1.000000 1.000000 1.000000
264 0.001361 0.993502 0.993499 1.362533 1.362102 1.000000 1.000000 1.000000
265 0.001361 0.993502 0.993500 1.362535 1.362106 1.000000 1.000000 1.000000
266 0.001361 0.993502 0.993500 1.362535 1.362106 1.000000 1.000000 1.000000
267 0.001361 0.993502 0.993499 1.362533 1.362102 1.000000 1.000000 1.000000
268 0.001361 0.993502 0.993499 1.362532 1.362103 1.000000 1.000000 1.000000
269 0.001361 0.993502 0.993500 1.362536 1.362106 1.000000 1.000000 1.000000
270 0.001361 0.993502 0.993499 1.362534 1.362103 1.000000 1.000000 1.000000
271 0.001414 0.993238 0.993245 1.361699 1.361284 0.999990 1.000000 1.000000
272 0.001414 0.993240 0.993246 1.361706 1.361288 0.999990 1.000000 1.000000
273 0.001414 0.993239 0.993246 1.361705 1.361289 0.999990 1.000000 1.000000
274 0.001414 0.993239 0.993244 1.361703 1.361282 0.999990 1.000000 1.000000
275 0.001414 0.993239 0.993243 1.361702 1.361279 0.999990 1.000000 1.000000
276 0.001414 0.993238 0.993244 1.361702 1.361283 0.999990 1.000000 1.000000
277 0.001414 0.993239 0.993246 1.361700 1.361289 0.999990 1.000000 1.000000
278 0.001414 0.993235 0.993244 1.361684 1.361282 0.999990 1.000000 1.000000
279 0.001414 0.993240 0.993245 1.361706 1.361286 0.999990 1.000000 1.000000
280 0.001414 0.993239 0.993244 1.361703 1.361283 0.999990 1.000000 1.000000
281 0.001414 0.993240 0.993244 1.361705 1.361283 0.999990 1.000000 1.000000
282 0.001414 0.993236 0.993243 1.361691 1.361278 0.999990 1.000000 1.000000
283 0.001414 0.993239 0.993246 1.361704 1.361287 0.999990 1.000000 1.000000
284 0.001414 0.993238 0.993244 1.361701 1.361281 0.999990 1.000000 1.000000
285 0.001414 0.993239 0.993245 1.361703 1.361284 0.999990 1.000000 1.000000
286 0.001414 0.993239 0.993245 1.361706 1.361287 0.999990 1.000000 1.000000
287 0.001414 0.993238 0.993245 1.361701 1.361287 0.999990 1.000000 1.000000
288 0.001414 0.993238 0.993245 1.361700 1.361284 0.999990 1.000000 1.000000
289 0.001414 0.993240 0.993246 1.361706 1.361288 0.999990 1.000000 1.000000
290 0.001414 0.993237 0.993244 1.361693 1.361281 0.999990 1.000000 1.000000
291 0.001414 0.993239 0.993245 1.361703 1.361286 0.999990 1.000000 1.000000
292 0.001414 0.993238 0.993245 1.361698 1.361285 0.999990 1.000000 1.000000
293 0.001414 0.993238 0.993245 1.361700 1.361287 0.999990 1.000000 1.000000
294 0.001414 0.993238 0.993245 1.361694 1.361284 0.999990 1.000000 1.000000
295 0.001414 0.993238 0.993244 1.361701 1.361282 0.999990 1.000000 1.000000
296 0.001414 0.993240 0.993246 1.361706 1.361289 0.999990 1.000000 1.000000
297 0.001414 0.993239 0.993246 1.361704 1.361287 0.999990 1.000000 1.000000
298 0.001414 0.993238 0.993246 1.361698 1.361289 0.999990 1.000000 1.000000
299 0.001414 0.993239 0.993246 1.361705 1.361289 0.999990 1.000000 1.000000
300 0.001414 0.993237 0.993243 1.361697 1.361279 0.999990 1.000000 1.000000
301 0.001470 0.992984 0.992982 1.360905 1.360443 0.999999 1.000000 1.000000
302 0.001470 0.992983 0.992982 1.360899 1.360444 0.999999 1.000000 1.000000
303 0.001470 0.992984 0.992982 1.360903 1.360443 0.999999 1.000000 1.000000
304 0.001470 0.992981 0.992977 1.360893 1.360429 0.999999 1.000000 1.000000
305 0.001470 0.992983 0.992982 1.360900 1.360444 0.999999 1.000000 1.000000
306 0.001470 0.992981 0.992981 1.360886 1.360441 0.999999 1.000000 1.000000
307 0.001470 0.992982 0.992981 1.360895 1.360440 0.999999 1.000000 1.000000
308 0.001470 0.992981 0.992980 1.360889 1.360437 0.999999 1.000000 1.000000
309 0.001470 0.992984 0.992981 1.360903 1.360441 0.999999 1.000000 1.000000
310 0.001470 0.992983 0.992979 1.360901 1.360435 0.999999 1.000000 1.000000
311 0.001470 0.992982 0.992981 1.360898 1.360439 0.999999 1.000000 1.000000
312 0.001470 0.992983 0.992982 1.360899 1.360443 0.999999 1.000000 1.000000
313 0.001470 0.992982 0.992980 1.360897 1.360437 0.999999 1.000000 1.000000
314 0.001470 0.992984 0.992982 1.360905 1.360442 0.999999 1.000000 1.000000
315 0.001470 0.992984 0.992982 1.360904 1.360442 0.999999 1.000000 1.000000
316 0.001470 0.992984 0.992982 1.360907 1.360445 0.999999 1.000000 1.000000
317 0.001470 0.992983 0.992981 1.360898 1.360441 0.999999 1.000000 1.000000
318 0.001470 0.992984 0.992981 1.360905 1.360441 0.999999 1.000000 1.000000
319 0.001470 0.992983 0.992981 1.360902 1.360441 0.999999 1.000000 1.000000
320 0.001470 0.992983 0.992980 1.360900 1.360438 0.999999 1.000000 1.000000
321 0.001470 0.992984 0.992982 1.360902 1.360442 0.999999 1.000000 1.000000
322 0.001470 0.992983 0.992980 1.360903 1.360438 0.999999 1.000000 1.000000
