#Optimization obtained via Optimization of the purity of the resulting channel
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
191 0.023101 0.999978 0.999999 0.988768 1.386159 1.386284 1.351418 

182 0.023101 0.999947 1.000000 0.988388 1.385986 1.386293 1.350420 

192 0.023101 0.999978 0.999999 0.986047 1.386160 1.386290 1.344437 

184 0.023101 0.999964 0.999998 0.972338 1.386078 1.386280 1.312479 

186 0.023101 0.999986 0.999999 0.985183 1.386204 1.386287 1.342204 

195 0.023101 0.999951 1.000000 0.977873 1.386010 1.386292 1.324883 

196 0.023101 0.999956 0.999998 0.992270 1.386037 1.386282 1.360860 

190 0.023101 0.999915 1.000000 0.982552 1.385823 1.386294 1.335743 

199 0.023101 0.999986 1.000000 0.990112 1.386202 1.386294 1.354979 

200 0.023101 0.999899 1.000000 0.982075 1.385743 1.386292 1.334716 

208 0.025354 0.999977 0.999999 0.975249 1.386151 1.386286 1.318925 

218 0.025354 0.999757 0.999999 0.963885 1.385077 1.386290 1.293910 

217 0.025354 0.999896 1.000000 0.982298 1.385727 1.386294 1.335191 

216 0.025354 0.999958 0.999999 0.976746 1.386047 1.386285 1.322246 

211 0.025354 0.999934 0.999999 0.971377 1.385921 1.386285 1.310102 

206 0.025354 0.999959 1.000000 0.966477 1.386054 1.386291 1.299675 

215 0.025354 0.999944 1.000000 0.985987 1.385972 1.386292 1.344296 

209 0.025354 0.999882 0.999999 0.970911 1.385661 1.386288 1.309182 

213 0.025354 0.999967 0.999999 0.996291 1.386094 1.386289 1.372754 

214 0.025354 0.999932 0.999999 0.973306 1.385911 1.386288 1.314529 

201 0.025354 0.999894 0.999998 0.978401 1.385717 1.386281 1.326107 

204 0.025354 0.999972 0.999997 0.971301 1.386124 1.386273 1.310205 

205 0.025354 0.999967 1.000000 0.978585 1.386095 1.386292 1.326532 

212 0.025354 0.999995 0.999999 0.994202 1.386262 1.386288 1.366407 

203 0.025354 0.999964 1.000000 0.978230 1.386075 1.386292 1.325582 

202 0.025354 0.999978 0.999999 0.987741 1.386159 1.386290 1.348747 

210 0.025354 0.999946 1.000000 0.983580 1.385983 1.386293 1.338276 

207 0.025354 0.999939 0.999999 0.967585 1.385944 1.386284 1.302151 

219 0.025354 0.999961 1.000000 0.978857 1.386061 1.386293 1.327068 

