#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
262 0.033516 0.999999 0.999999 0.973015 1.386289 1.386285 1.313904 

269 0.033516 0.999999 0.999999 0.947726 1.386290 1.386286 1.261945 

276 0.033516 1.000000 0.999997 0.962198 1.386292 1.386272 1.290855 

266 0.033516 1.000000 0.999998 0.952725 1.386293 1.386278 1.271469 

267 0.033516 0.999997 0.999993 0.945294 1.386271 1.386247 1.257984 

272 0.033516 0.999999 0.999997 0.975373 1.386289 1.386274 1.319172 

270 0.033516 1.000000 1.000000 0.963071 1.386292 1.386291 1.292306 

274 0.033516 0.999999 0.999998 0.935831 1.386285 1.386276 1.239913 

271 0.033516 0.999999 0.999995 0.961679 1.386287 1.386261 1.289450 

263 0.033516 0.999999 0.999999 0.953531 1.386289 1.386288 1.273161 

261 0.033516 0.999999 0.999996 0.945764 1.386286 1.386268 1.258708 

275 0.033516 1.000000 0.999999 0.958139 1.386293 1.386289 1.282821 

280 0.033516 1.000000 0.999999 0.943703 1.386291 1.386288 1.253591 

279 0.033516 1.000000 1.000000 0.964623 1.386293 1.386293 1.295894 

288 0.036784 0.999996 0.999990 0.958268 1.386266 1.386226 1.282930 

285 0.036784 0.999999 0.999999 0.984089 1.386288 1.386288 1.339489 

291 0.036784 0.999998 0.999996 0.942747 1.386280 1.386269 1.252017 

298 0.036784 0.999998 0.999995 0.945210 1.386276 1.386257 1.256515 

284 0.036784 0.999999 0.999982 0.980885 1.386289 1.386180 1.331853 

292 0.036784 0.999999 0.999998 0.969327 1.386288 1.386277 1.305987 

286 0.036784 1.000000 0.999996 0.951802 1.386294 1.386268 1.269793 

297 0.036784 0.999998 0.999998 0.974129 1.386283 1.386283 1.316274 

293 0.036784 1.000000 0.999996 0.983774 1.386294 1.386268 1.338823 

287 0.036784 0.999997 0.999990 0.946687 1.386276 1.386228 1.260519 

282 0.036784 1.000000 0.999999 0.986014 1.386293 1.386284 1.344371 

289 0.036784 0.999999 0.999996 0.981412 1.386290 1.386263 1.333049 

296 0.036784 0.999995 0.999983 0.955809 1.386258 1.386189 1.278209 

294 0.036784 0.999999 0.999999 0.909429 1.386288 1.386285 1.191807 

295 0.036784 1.000000 0.999999 0.962160 1.386294 1.386290 1.290989 

283 0.036784 0.999998 0.999996 0.959850 1.386281 1.386267 1.286222 

290 0.036784 0.999999 0.999999 0.976205 1.386288 1.386287 1.320999 

281 0.036784 0.999999 0.999991 0.963104 1.386285 1.386237 1.292947 

300 0.036784 0.999999 0.999994 0.952499 1.386288 1.386254 1.271314 

299 0.036784 0.999999 0.999999 0.967949 1.386287 1.386286 1.302846 

313 0.040370 1.000000 0.999996 0.982820 1.386293 1.386265 1.336503 

312 0.040370 0.999999 0.999996 0.972384 1.386290 1.386264 1.312589 

310 0.040370 0.999999 0.999999 0.955115 1.386286 1.386286 1.276367 

304 0.040370 0.999999 0.999983 0.918870 1.386289 1.386184 1.210588 

302 0.040370 0.999999 0.999997 0.962626 1.386285 1.386271 1.291886 

317 0.040370 0.999999 0.999999 0.943565 1.386290 1.386290 1.254213 

303 0.040370 0.999999 0.999997 0.941121 1.386285 1.386271 1.249701 

315 0.040370 1.000000 0.999999 0.942834 1.386292 1.386289 1.253371 

307 0.040370 0.999998 0.999998 0.895512 1.386278 1.386276 1.171526 

309 0.040370 0.999999 0.999994 0.927449 1.386286 1.386256 1.224368 

305 0.040370 0.999999 0.999999 0.951019 1.386286 1.386286 1.268884 

308 0.040370 0.999995 0.999994 0.930709 1.386258 1.386251 1.231380 

311 0.040370 1.000000 0.999996 0.921411 1.386293 1.386269 1.212202 

314 0.040370 0.999997 0.999995 0.925113 1.386272 1.386257 1.220873 

318 0.040370 0.999999 0.999999 0.897786 1.386286 1.386283 1.170883 

316 0.040370 0.999995 0.999985 0.940831 1.386261 1.386201 1.249382 

306 0.040370 1.000000 0.999999 0.924229 1.386292 1.386290 1.218802 

301 0.040370 0.999998 0.999987 0.921801 1.386278 1.386212 1.215892 

320 0.040370 0.999999 0.999993 0.903643 1.386284 1.386248 1.180474 

319 0.040370 0.999999 0.999999 0.942944 1.386285 1.386285 1.252857 

335 0.044306 1.000000 0.999997 0.921308 1.386291 1.386273 1.215005 

324 0.044306 1.000000 0.999988 0.913890 1.386291 1.386216 1.202311 

328 0.044306 0.999994 0.999977 0.918017 1.386255 1.386152 1.208264 

326 0.044306 1.000000 0.999990 0.914375 1.386292 1.386231 1.201446 

332 0.044306 0.999999 0.999998 0.950399 1.386287 1.386283 1.267538 

331 0.044306 0.999995 0.999990 0.940055 1.386262 1.386225 1.246877 

333 0.044306 1.000000 0.999996 0.973971 1.386293 1.386265 1.316086 

329 0.044306 0.999998 0.999994 0.926706 1.386281 1.386252 1.224291 

321 0.044306 0.999996 0.999992 0.902659 1.386267 1.386243 1.182949 

330 0.044306 0.999999 0.999998 0.944897 1.386285 1.386282 1.256359 

337 0.044306 0.999997 0.999997 0.935490 1.386271 1.386271 1.239637 

336 0.044306 0.999992 0.999969 0.958163 1.386243 1.386110 1.282787 

334 0.044306 0.999997 0.999996 0.875457 1.386274 1.386265 1.133078 

338 0.044306 0.999996 0.999987 0.913960 1.386263 1.386207 1.202405 

323 0.044306 0.999996 0.999993 0.934588 1.386266 1.386250 1.237444 

325 0.044306 0.999999 0.999999 0.927265 1.386289 1.386288 1.223952 

322 0.044306 0.999998 0.999998 0.955883 1.386280 1.386278 1.278346 

327 0.044306 0.999994 0.999973 0.910267 1.386254 1.386129 1.194954 

339 0.044306 0.999999 0.999999 0.945032 1.386289 1.386285 1.257380 

340 0.044306 0.999999 0.999993 0.927462 1.386286 1.386250 1.225174 

348 0.048626 0.999995 0.999981 0.927013 1.386262 1.386177 1.224777 

345 0.048626 0.999998 0.999998 0.921521 1.386282 1.386282 1.214800 

351 0.048626 0.999999 0.999990 0.901612 1.386284 1.386227 1.177401 

349 0.048626 0.999998 0.999986 0.902854 1.386282 1.386207 1.182733 

346 0.048626 0.999999 0.999996 0.896814 1.386289 1.386264 1.172134 

352 0.048626 1.000000 0.999993 0.978303 1.386293 1.386249 1.325858 

357 0.048626 0.999998 0.999998 0.934285 1.386280 1.386280 1.237066 

